order,status,title,subtitle,teaser,hint
1,unlocked,Chapter I,The Garden City,,
2,locked,Chapter II,???,Train · Coffee · Caves,"Where trains pierce through towers, white coffee steams at dawn, and limestone cliffs hide temples older than memory."
3,locked,Chapter III,???,Fog · Monorail · Fire,"A vertical city wrapped in fog, where the railway disappears into someone's living room and the spice burns twice."
4,locked,Chapter IV,???,Powder · Onsen · Silence,"Powder dreams beneath sacred peaks. After the descent, steam rises from cedar baths while snow falls without sound."
5,locked,Chapter V,???,Road · Fjord · Middle-earth,"Roads that feel borrowed from a fantasy map. Emerald hills, sheep outnumber people, and the ocean carved fjords into the land."
6,locked,Chapter VI,???,Aurora · Fjord · Midnight,"When green fire dances across a black sky and the sun refuses to set, you'll understand why Vikings looked up and believed."
7,locked,Chapter VII,???,Skates · Tree · Taxi,"Ice skates carve circles beneath a tower of lights. Yellow cabs honk through winter magic on avenues that never sleep."
8,locked,Chapter VIII,???,Pilgrimage · Cube · Dawn,"Millions walk the same circle around an ancient cube. The call echoes at dawn across a desert that holds the holiest square on earth."
9,locked,Chapter IX,???,Mirror · Salt · Altitude,"When the rains come, heaven falls to earth. The sky mirrors itself across endless white salt at 3,600 meters above the sea."
10,locked,Chapter X,???,Dunes · Caravan · Stars,"Golden waves swallow the horizon. Caravans cross dunes that shift every night, and stars feel close enough to touch."
11,locked,Final Chapter,???,Penguin · Ice · End of Map,"At the end of all maps, penguins march in formation and icebergs calve with a sound like thunder. No flag claims this place."
